country_code,country_name,indicator_code,indicator_name,category,year,value
CHN,China,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2000,1206513014024.214
CHN,China,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2001,1319766616155.282
CHN,China,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2002,1445939165527.453
CHN,China,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2003,1602044991534.6218
CHN,China,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2004,1731240955150.4656
CHN,China,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2005,1861421791816.0527
CHN,China,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2006,2084410407170.1177
CHN,China,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2007,2265439233930.2236
CHN,China,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2008,2480613784722.7905
CHN,China,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2009,2722773075716.691
CHN,China,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2010,2981741369733.0513
CHN,China,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2011,3284551831758.306
CHN,China,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2012,3578952860253.812
CHN,China,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2013,3901285366313.625
CHN,China,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2014,4247892616935.368
CHN,China,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2015,4642930062850.136
CHN,China,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2016,5113003419689.939
CHN,China,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2017,5619722111001.073
CHN,China,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2018,6115247379148.74
CHN,China,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2019,6687470364215.792
CHN,China,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2020,7332942416473.365
CHN,China,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2021,7974260307850.313
CHN,China,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2022,8756161900969.927
CHN,China,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2023,9600902745886.643
USA,United States,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2000,10429047899002.787
USA,United States,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2001,11165957325084.104
USA,United States,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2002,12348680943029.576
USA,United States,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2003,13478019377128.11
USA,United States,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2004,14852003495027.73
USA,United States,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2005,15846989347353.354
USA,United States,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2006,17705561728349.805
USA,United States,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2007,18935031757155.863
USA,United States,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2008,20520851597544.984
USA,United States,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2009,22916644264152.934
USA,United States,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2010,25023190829857.8
USA,United States,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2011,27764735851406.5
USA,United States,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2012,30319139907842.266
USA,United States,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2013,32775514222951.5
USA,United States,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2014,36309279337281.516
USA,United States,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2015,39333160110674.305
USA,United States,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2016,43244452135715.73
USA,United States,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2017,47276062974091.67
USA,United States,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2018,51817631815559.125
USA,United States,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2019,56839675589512.51
USA,United States,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2020,62139761337345.14
USA,United States,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2021,67920255426574.734
USA,United States,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2022,74371354957950.67
USA,United States,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2023,81327527825675.52
JPN,Japan,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2000,4907677644757.172
JPN,Japan,NY.GDP.MKTP.CD,GDP（现价美元）,经济,2001,5366739503289.527
